time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120929:1300,13.96,63.6,263.45,233.5,135.95,357.6,1.24,126.0,74644.0
20120929:1400,15.07,56.6,288.0,98.63,214.8,365.0,1.66,132.0,74578.0
20120929:1500,16.21,50.95,441.6,157.54,301.8,377.8,2.0,130.0,74520.0
20120929:1600,17.84,44.25,520.5,258.82,268.95,385.4,2.14,142.0,74432.0
20120929:1700,18.75,40.6,711.25,435.03,280.6,366.6,1.72,155.0,74300.0
20120929:1800,19.99,36.4,644.2,420.91,248.45,359.0,1.45,154.0,74176.0
20120929:1900,19.68,35.65,592.0,460.24,211.75,376.8,1.72,143.0,74118.0
20120929:2000,20.0,32.8,423.7,377.75,176.05,368.6,1.52,140.0,74074.0
20120929:2100,19.54,32.55,189.45,211.79,96.25,347.4,0.97,157.0,74052.0
20120929:2200,18.11,35.6,35.25,51.47,25.25,350.8,0.07,58.0,73993.0
20120929:2300,16.45,41.75,0.0,-0.0,0.0,333.8,0.41,352.0,74140.0
20120930:0000,15.07,48.5,0.0,-0.0,0.0,332.4,0.76,68.0,74315.0
20120930:0100,14.03,53.4,0.0,-0.0,0.0,342.65,0.9,86.0,74410.0
20120930:0200,13.58,56.2,0.0,-0.0,0.0,356.8,0.97,92.0,74498.0
20120930:0300,13.23,58.4,0.0,-0.0,0.0,357.8,0.97,95.0,74549.0
20120930:0400,13.04,59.45,0.0,-0.0,0.0,364.8,0.97,107.0,74556.0
20120930:0500,13.0,59.0,0.0,-0.0,0.0,374.6,1.03,119.0,74520.0
20120930:0600,12.86,59.15,0.0,-0.0,0.0,374.0,1.03,127.0,74454.0
20120930:0700,12.42,63.85,0.0,-0.0,0.0,363.4,0.97,112.0,74432.0
20120930:0800,12.24,65.0,0.0,-0.0,0.0,358.2,0.83,110.0,74403.0
20120930:0900,12.21,65.5,0.0,-0.0,0.0,360.4,0.83,110.0,74425.0
20120930:1000,11.97,66.8,0.0,-0.0,0.0,354.0,0.76,108.0,74403.0
20120930:1100,11.83,68.15,72.35,685.98,32.4,362.4,0.83,108.0,74469.0
20120930:1200,12.55,65.45,258.15,510.39,98.3,350.4,0.97,117.0,74564.0
20120930:1300,14.47,55.95,348.95,332.02,167.5,347.6,0.97,135.0,74520.0
20120930:1400,16.09,48.55,482.6,409.41,178.7,363.0,1.86,131.0,74520.0
20120930:1500,17.8,41.25,307.35,97.61,220.75,357.2,2.14,135.0,74476.0
20120930:1600,20.43,22.82,333.4,71.76,263.7,366.76,1.48,140.0,74469.0
20120930:1700,19.74,28.38,614.0,353.25,264.65,365.5,1.39,142.0,74337.0
20120930:1800,19.04,33.95,597.2,407.55,214.55,364.23,1.3,143.0,74183.0
20120930:1900,18.35,39.51,606.75,505.66,189.8,362.97,1.21,130.0,74125.0
20120930:2000,17.65,45.07,440.0,468.3,133.85,361.7,1.12,129.0,74059.0
20120930:2100,16.95,50.63,240.15,346.51,88.35,360.43,1.03,154.0,74059.0
20120930:2200,16.26,56.2,41.8,91.54,24.2,359.17,0.94,280.0,74008.0
20120930:2300,15.56,61.76,0.0,-0.0,0.0,357.9,0.85,315.0,74154.0
20151001:0000,14.87,67.32,0.0,-0.0,0.0,356.63,0.76,214.0,74154.0
20151001:0100,14.17,72.88,0.0,-0.0,0.0,355.37,0.67,193.0,74235.0
20151001:0200,13.48,78.45,0.0,-0.0,0.0,354.1,0.58,133.0,74352.0
20151001:0300,12.78,84.01,0.0,-0.0,0.0,352.83,0.49,67.0,74366.0
20151001:0400,12.08,89.57,0.0,-0.0,0.0,351.57,0.4,92.0,74396.0
20151001:0500,11.39,95.13,0.0,-0.0,0.0,350.3,0.31,102.0,74388.0
20151001:0600,10.69,100.0,0.0,-0.0,0.0,349.03,0.22,100.0,74337.0
20151001:0700,10.0,100.0,0.0,-0.0,0.0,347.77,0.12,83.0,74286.0
20151001:0800,10.57,99.0,0.0,-0.0,0.0,346.2,0.69,78.0,74257.0
20151001:0900,10.67,99.2,0.0,-0.0,0.0,357.0,0.69,70.0,74257.0
20151001:1000,10.61,99.25,0.0,-0.0,0.0,349.8,0.48,77.0,74308.0
20151001:1100,10.62,98.45,39.45,259.28,24.35,351.8,0.55,84.0,74381.0
20151001:1200,11.48,97.95,108.6,72.48,85.9,361.8,0.55,87.0,74439.0
20151001:1300,11.79,94.15,255.45,126.07,186.55,353.4,0.34,69.0,74498.0
20151001:1400,16.17,71.45,375.7,177.09,244.25,351.4,0.21,357.0,74491.0
20151001:1500,14.43,82.55,376.9,110.69,278.7,367.0,0.55,283.0,74491.0
20151001:1600,15.62,82.3,469.95,122.36,351.1,367.6,1.1,269.0,74403.0
20151001:1700,16.52,86.0,536.2,205.22,333.25,376.6,1.45,260.0,74278.0
20151001:1800,16.8,83.9,564.35,276.76,304.5,365.8,1.38,260.0,74198.0
20151001:1900,15.65,80.75,438.9,199.44,274.45,361.2,1.45,262.0,74081.0
20151001:2000,15.58,83.75,305.95,137.97,215.75,358.4,1.17,266.0,74088.0
20151001:2100,14.67,83.05,142.65,34.93,127.35,353.8,0.97,257.0,74081.0
20151001:2200,14.58,86.95,28.85,28.35,23.4,352.4,0.97,250.0,74052.0
20151001:2300,12.49,89.1,0.0,-0.0,0.0,339.0,0.48,246.0,74191.0
20151002:0000,12.13,93.35,0.0,-0.0,0.0,348.2,0.41,276.0,74308.0
20151002:0100,11.91,97.5,0.0,-0.0,0.0,351.05,0.48,32.0,74352.0
20151002:0200,11.66,98.65,0.0,-0.0,0.0,354.0,0.48,56.0,74454.0
20151002:0300,11.34,97.4,0.0,-0.0,0.0,349.4,0.41,73.0,74491.0
20151002:0400,10.69,98.6,0.0,-0.0,0.0,339.4,0.48,113.0,74454.0
20151002:0500,10.52,98.95,0.0,-0.0,0.0,347.6,0.69,115.0,74432.0
20151002:0600,10.58,99.05,0.0,-0.0,0.0,355.4,0.62,103.0,74374.0
20151002:0700,10.21,99.3,0.0,-0.0,0.0,345.0,0.62,92.0,74300.0
20151002:0800,9.88,99.35,0.0,-0.0,0.0,340.6,0.62,103.0,74257.0
20151002:0900,9.67,99.35,0.0,-0.0,0.0,356.0,0.9,88.0,74264.0
20151002:1000,9.56,97.95,0.0,-0.0,0.0,360.6,0.83,86.0,74330.0
20151002:1100,9.67,97.45,79.2,307.26,61.05,357.2,0.83,91.0,74374.0
20151002:1200,11.28,95.1,268.55,503.9,110.4,352.8,0.41,92.0,74439.0
20151002:1300,13.47,81.8,537.85,764.93,119.5,347.0,0.14,123.0,74469.0
20151002:1400,15.52,72.65,701.45,685.84,192.3,337.2,0.76,265.0,74476.0
20151002:1500,17.01,73.1,759.85,679.67,157.05,357.8,1.31,268.0,74447.0
20151002:1600,18.34,75.3,757.7,515.58,257.25,356.2,1.72,259.0,74344.0
20151002:1700,17.23,75.55,639.2,314.75,328.25,359.0,1.66,268.0,74242.0
20151002:1800,16.3,78.5,515.8,212.58,316.5,357.0,1.31,283.0,74154.0
20151002:1900,16.65,80.4,510.2,299.18,264.0,366.4,1.24,269.0,74074.0
20151002:2000,15.66,79.25,290.95,177.48,175.25,359.6,1.24,282.0,74037.0
20151002:2100,15.47,86.0,168.15,171.75,93.25,344.0,0.76,262.0,74059.0
20151002:2200,15.05,90.3,32.0,60.97,20.4,346.4,0.69,258.0,74154.0
20151002:2300,12.21,89.2,0.0,-0.0,0.0,333.4,0.55,109.0,74161.0
20151003:0000,12.26,90.45,0.0,-0.0,0.0,345.8,1.03,97.0,74264.0
20151003:0100,11.78,92.35,0.0,-0.0,0.0,342.65,1.1,97.0,74344.0
20151003:0200,11.64,92.35,0.0,-0.0,0.0,342.0,1.1,98.0,74417.0
20151003:0300,11.62,92.6,0.0,-0.0,0.0,351.6,1.03,93.0,74439.0
20151003:0400,12.01,92.3,0.0,-0.0,0.0,379.2,0.9,100.0,74396.0
20151003:0500,11.89,93.05,0.0,-0.0,0.0,365.8,0.76,105.0,74374.0
20151003:0600,11.81,93.85,0.0,-0.0,0.0,366.4,0.76,100.0,74344.0
20151003:0700,11.98,91.1,0.0,-0.0,0.0,376.8,0.48,85.0,74322.0
20151003:0800,11.89,90.55,0.0,-0.0,0.0,364.2,0.76,109.0,74293.0
20151003:0900,11.92,89.25,0.0,-0.0,0.0,369.8,0.9,100.0,74300.0
20151003:1000,11.8,89.0,0.0,-0.0,0.0,362.4,0.97,90.0,74300.0
20151003:1100,11.56,89.55,53.5,144.48,44.85,354.0,1.03,94.0,74374.0
20151003:1200,12.11,87.65,149.45,164.08,97.85,353.0,0.83,99.0,74432.0
20151003:1300,13.34,81.25,268.4,226.03,144.7,363.6,0.76,124.0,74513.0
20151003:1400,14.83,72.85,446.5,255.45,256.85,368.8,0.69,154.0,74527.0
20151003:1500,16.59,60.9,514.35,277.36,268.45,377.6,0.55,162.0,74520.0
20151003:1600,17.41,55.3,539.0,198.51,346.45,366.2,0.97,146.0,74425.0
20151003:1700,18.38,50.65,531.8,224.85,309.9,384.2,0.9,147.0,74293.0
20151003:1800,18.82,49.35,614.15,347.54,288.8,382.4,0.21,248.0,74154.0
20151003:1900,18.65,51.1,582.1,401.28,252.55,375.8,0.28,194.0,74022.0
20151003:2000,18.94,50.5,347.7,268.45,173.2,366.2,0.62,319.0,73964.0
20151003:2100,17.63,59.7,169.65,181.97,90.65,365.4,0.83,330.0,74001.0
20151003:2200,16.61,67.1,29.85,69.84,16.7,345.6,0.48,332.0,74037.0
20151003:2300,15.41,75.8,0.0,-0.0,0.0,352.6,0.28,334.0,74118.0
20151004:0000,14.56,81.75,0.0,-0.0,0.0,354.8,0.48,53.0,74213.0
20151004:0100,13.65,83.8,0.0,-0.0,0.0,352.45,0.83,86.0,74300.0
20151004:0200,13.56,84.5,0.0,-0.0,0.0,370.0,0.97,88.0,74366.0
20151004:0300,13.3,85.7,0.0,-0.0,0.0,363.6,1.03,80.0,74417.0
20151004:0400,12.97,87.8,0.0,-0.0,0.0,363.0,0.83,81.0,74417.0
20151004:0500,12.59,89.7,0.0,-0.0,0.0,356.2,0.76,90.0,74396.0
20151004:0600,12.52,89.75,0.0,-0.0,0.0,364.8,0.76,95.0,74374.0
20151004:0700,12.94,83.65,0.0,-0.0,0.0,370.8,0.83,104.0,74322.0
20151004:0800,12.7,84.85,0.0,-0.0,0.0,362.4,0.62,102.0,74344.0
20151004:0900,12.49,85.15,0.0,-0.0,0.0,362.4,0.97,96.0,74359.0
20151004:1000,12.32,84.65,0.0,-0.0,0.0,359.8,1.03,98.0,74366.0
20151004:1100,12.26,84.25,75.15,736.35,30.5,361.8,1.03,99.0,74410.0
20151004:1200,13.26,78.95,190.8,322.81,89.1,366.4,1.24,105.0,74513.0
20151004:1300,14.64,72.05,398.2,450.34,151.6,364.2,0.97,109.0,74498.0
